place,team,abbreviation,lat,lon,city
Toronto,Raptors,TOR,43.6435,-79.3791,Toronto
Boston,Celtics,BOS,42.3662,-71.0621,Boston
Philadelphia,76ers,PHI,39.9012,-75.172,Philadelphia
Brooklyn,Nets,BRK,40.6826,-73.9754,Brooklyn
New York,Knicks,NYK,40.7505,-73.9934,New York
Milwaukee,Bucks,MIL,43.0451,-87.9174,Milwaukee
Indiana,Pacers,IND,39.764,-86.1555,Indianapolis
Chicago,Bulls,CHI,41.8807,-87.6742,Chicago
Detroit,Pistons,DET,42.3411,-83.0553,Detroit
Cleveland,Cavaliers,CLE,41.4965,-81.6882,Cleveland
Miami,Heat,MIA,25.7814,-80.187,Miami
Orlando,Magic,ORL,28.5392,-81.3839,Orlando
Washington,Wizards,WAS,38.8981,-77.0208,Washington DC
Charlotte,Hornets,CHO,35.2252,-80.8393,Charlotte
Atlanta,Hawks,ATL,33.7573,-84.3963,Atlanta
Denver,Nuggets,DEN,39.7487,-105.0077,Denver
Uath,Jazz,UTA,40.4683,-111.9011,Salt Lake city
Oklahoma City,Thunder,OKC,35.4634,-97.5151,Oklahoma city
Portland,Trail Blazers,POR,45.5316,-122.6668,Portland
Minnesota,Timberwolves,MIN,44.9795,-93.2761,Minneapolis
Los Angeles,Lakers,LAL,34.043,-118.2673,Los Angeles
Los Angeles,Clippers,LAC,34.043,-118.2673,Los Angeles
Sacramento,Kings,SAC,38.5802,-121.4997,Sacramento
Phoenix,Suns,PHO,33.4457,-112.0712,Phoenix
Golden State,Warriors,GSW,37.7677,-122.3873,San Francisco
Houston,Rockets,HOU,29.7508,-95.3621,Houston
Dallas,Mavericks,DAL,32.7904,-96.8101,Dallas
Memphis,Grizzlies,MEM,35.1381,-90.0506,Memphis
New Orleans,Pelicans,NOP,29.949,-90.0821,New Orleans
San Antonio,Spurs,SAS,29.4272,-98.4375,San Antonio
